mattchiu138,Coffee or Pizza,40.70579883*-74.26065663,0
christinatrejo,Coffee or Pizza,40.69118179*-73.97480965,0
jdelorenzo,Coffee or Pizza,40.83047438*-74.20512401,0
micrv,Coffee or Pizza,40.73184425*-73.98386478,0
lexie_ramage,Coffee or Pizza,40.74920929*-73.97291612,0
annaalejandre,Coffee or Pizza,40.72242771*-73.98321815,0
Ronmeister03,Coffee or Pizza,40.76100461*-73.92292,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
Whore_Hey67,Coffee or Pizza,40.799028*-74.147786,0
plusmodelnish,Coffee or Pizza,40.91345964*-74.14297461,0
lopsidedstephen,Coffee or Pizza,40.7416359*-74.0015194,0
Ayilmaz74,Coffee or Pizza,40.71201432*-74.24882246,0
benrayner,Coffee or Pizza,40.73168301*-73.97443011,0
Terrydaktyl,Coffee or Pizza,40.94375084*-74.12981393,0
jmfrey22,Coffee or Pizza,40.77608319*-73.96217158,0
Jackie4402,Coffee or Pizza,40.77666713*-73.97913184,0
LaorenZa,Coffee or Pizza,40.71418*-74.007936,0
carlosarias82,Coffee or Pizza,40.873466*-73.907767,0
divinejudge1,Coffee or Pizza,40.8394628*-74.00394107,0
Vampire718,Coffee or Pizza,40.70619354*-73.95027841,0
SamThigpen,Coffee or Pizza,40.75394029*-73.98966884,0
TonyMangia,Coffee or Pizza,40.87706649*-74.10280727,0
evanpierri,Coffee or Pizza,40.7335864*-73.98738472,0
mattypeks,Coffee or Pizza,40.73110039*-73.99015091,0
BChoromanski,Coffee or Pizza,40.74457323*-73.98342527,0
missyigit,Coffee or Pizza,40.738558*-73.995899,0
nGoftheyear,Coffee or Pizza,40.6050235*-73.99805,0
kingchaunc,Coffee or Pizza,40.810348*-74.000953,0
krswanny,Coffee or Pizza,40.75866519*-73.97882192,0
phenomenalrica,Coffee or Pizza,40.74258388*-73.99004761,0
LucasBraga,Coffee or Pizza,40.76102972*-73.98317814,0
SonnyMooks,Coffee or Pizza,40.71086218*-73.96769315,0
airwolf28,Coffee or Pizza,40.52924596*-74.54162478,0
Mikespins,Coffee or Pizza,40.7342453*-74.00753784,0
PittBullFitness,Coffee or Pizza,40.72370936*-73.99851235,0
nobodybutsteph,Coffee or Pizza,40.73918412*-74.00270728,0
oliveawhite,Coffee or Pizza,40.738558*-73.995899,0
Trigonis,Coffee or Pizza,40.71493168*-74.01143789,0
oscartrelles,Coffee or Pizza,40.74581014*-73.98830652,0
RosieDasRiveter,Coffee or Pizza,40.63165348*-73.95327473,0
christinesimko,Coffee or Pizza,40.75196671*-73.99312939,0
moosefan68,Coffee or Pizza,40.75275135*-73.90972853,0
camille_reynes,Coffee or Pizza,40.73184425*-73.98386478,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
number0,Coffee or Pizza,40.71807*-73.9575,0
velidovi,Coffee or Pizza,40.74969629*-73.97721492,0
EricLang_,Coffee or Pizza,40.98530006*-74.02563144,0
aubshiny,Coffee or Pizza,40.729813*-73.958467,0
GiovanniNYC,Coffee or Pizza,40.75937095*-73.96812936,0
Stay_GLDN,Coffee or Pizza,40.707555*-74.007066,0
AshleyMacha,Coffee or Pizza,40.64841843*-73.97872925,0
_chellebel,Coffee or Pizza,40.599997*-73.93373722,0
lamboap,Coffee or Pizza,40.76404929*-73.98814227,0
Finlandia513,Coffee or Pizza,40.90916411*-74.03143807,0
JoeyImage,Coffee or Pizza,40.95670971*-74.06986525,0
h__totheizzo,Coffee or Pizza,40.73624622*-73.99419107,0
VivaLaShoSho,Coffee or Pizza,40.74787108*-73.9892212,0
cecechatterbox,Coffee or Pizza,40.73468612*-73.992027,0
MikeyCorbett,Coffee or Pizza,40.7147599*-74.00574869,0
FHernandoMestre,Coffee or Pizza,40.73047558*-74.00197848,0
AlekseyKernes,Coffee or Pizza,40.7176884*-73.99060249,0
FLeXxX_,Coffee or Pizza,40.86533506*-73.85734087,0
grahamharbison,Coffee or Pizza,40.70263748*-73.99361145,0
illannpower,Coffee or Pizza,40.75379775*-73.98681521,0
epickstyle,Coffee or Pizza,40.751111*-73.67477,0
MarkSun1962,Coffee or Pizza,41.01038705*-73.8432072,0
__NYQ,Coffee or Pizza,40.88538885*-73.90984654,0
angelindiskies,Coffee or Pizza,40.75463689*-73.98562431,0
TonyMangia,Coffee or Pizza,40.89314284*-74.11748392,0
txapao,Coffee or Pizza,40.72156713*-73.9955914,0
FatLittleBird,Coffee or Pizza,40.732677*-73.991519,0
athomez,Coffee or Pizza,40.76113835*-73.96972418,0
layenny,Coffee or Pizza,40.744061*-74.003075,0
YankeeQueen69,Coffee or Pizza,40.73684803*-74.25031825,0
livviiiiii,Coffee or Pizza,40.71735293*-73.96039224,0
RMacNelson,Coffee or Pizza,40.75203644*-73.99116096,0
MrEspo,Coffee or Pizza,40.72772*-74.007249,0
GCrowley,Coffee or Pizza,40.7746756*-73.91341925,0
andjilliansaid,Coffee or Pizza,40.84125677*-73.93994592,0
SoItsComeToThis,Coffee or Pizza,40.73657339*-74.02877003,0
CraigElimeliah,Coffee or Pizza,40.75866519*-73.97882192,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
alexdziura,Coffee or Pizza,40.72048005*-73.9935598,0
1856Beverage,Coffee or Pizza,40.72104672*-73.94075632,0
hansongirl,Coffee or Pizza,40.72048005*-73.9935598,0
